timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1541168025551,1310,Facebook,200,OK,MEAN 1-1,text,true,,513819,120,1,1,https://www.facebook.com/,443,0,113
1541168026862,1330,Facebook,200,OK,MEAN 1-1,text,true,,514025,120,1,1,https://www.facebook.com/,463,0,122
1541168028198,1338,Facebook,200,OK,MEAN 1-1,text,true,,514519,120,1,1,https://www.facebook.com/,413,0,180
1541168029538,1292,Facebook,200,OK,MEAN 1-1,text,true,,514104,120,1,1,https://www.facebook.com/,345,0,163
1541168030831,1255,Facebook,200,OK,MEAN 1-1,text,true,,514089,120,1,1,https://www.facebook.com/,383,0,120
1541168032086,1324,Facebook,200,OK,MEAN 1-1,text,true,,514426,120,1,1,https://www.facebook.com/,461,0,95
1541168033412,1227,Facebook,200,OK,MEAN 1-1,text,true,,513918,120,1,1,https://www.facebook.com/,355,0,123
1541168034640,1437,Facebook,200,OK,MEAN 1-1,text,true,,514392,120,1,1,https://www.facebook.com/,568,0,126
1541168036078,1340,Facebook,200,OK,MEAN 1-1,text,true,,513967,120,1,1,https://www.facebook.com/,462,0,143
1541168037420,1406,Facebook,200,OK,MEAN 1-1,text,true,,513914,120,1,1,https://www.facebook.com/,451,0,123
1541168038828,1346,Facebook,200,OK,MEAN 1-1,text,true,,514378,120,1,1,https://www.facebook.com/,475,0,111
1541168040178,1323,Facebook,200,OK,MEAN 1-1,text,true,,514031,120,1,1,https://www.facebook.com/,457,0,112
1541168041502,1344,Facebook,200,OK,MEAN 1-1,text,true,,514108,120,1,1,https://www.facebook.com/,466,0,123
1541168042849,1413,Facebook,200,OK,MEAN 1-1,text,true,,514227,120,1,1,https://www.facebook.com/,553,0,126
1541168044264,1436,Facebook,200,OK,MEAN 1-1,text,true,,514387,120,1,1,https://www.facebook.com/,569,0,127
1541168045701,1437,Facebook,200,OK,MEAN 1-1,text,true,,514030,120,1,1,https://www.facebook.com/,572,0,119
1541168047139,1519,Facebook,200,OK,MEAN 1-1,text,true,,514035,120,1,1,https://www.facebook.com/,563,0,117
1541168048659,1352,Facebook,200,OK,MEAN 1-1,text,true,,513787,120,1,1,https://www.facebook.com/,478,0,130
1541168050013,1329,Facebook,200,OK,MEAN 1-1,text,true,,514395,120,1,1,https://www.facebook.com/,461,0,106
1541168051343,1431,Facebook,200,OK,MEAN 1-1,text,true,,514380,120,1,1,https://www.facebook.com/,455,0,95
1541168052776,1466,Facebook,200,OK,MEAN 1-1,text,true,,514394,120,1,1,https://www.facebook.com/,556,0,136
1541168054243,2000,Facebook,200,OK,MEAN 1-1,text,true,,513947,120,1,1,https://www.facebook.com/,523,0,206
1541168056245,1291,Facebook,200,OK,MEAN 1-1,text,true,,514462,120,1,1,https://www.facebook.com/,366,0,136
1541168057537,1443,Facebook,200,OK,MEAN 1-1,text,true,,514499,120,1,1,https://www.facebook.com/,509,0,135
1541168058981,1362,Facebook,200,OK,MEAN 1-1,text,true,,514483,120,1,1,https://www.facebook.com/,495,0,130
1541168060344,1319,Facebook,200,OK,MEAN 1-1,text,true,,514398,120,1,1,https://www.facebook.com/,466,0,104
1541168061664,1467,Facebook,200,OK,MEAN 1-1,text,true,,513980,120,1,1,https://www.facebook.com/,477,0,109
1541168063132,1405,Facebook,200,OK,MEAN 1-1,text,true,,513953,120,1,1,https://www.facebook.com/,545,0,124
1541168064538,1345,Facebook,200,OK,MEAN 1-1,text,true,,513780,120,1,1,https://www.facebook.com/,470,0,117
1541168065885,1424,Facebook,200,OK,MEAN 1-1,text,true,,513838,120,1,1,https://www.facebook.com/,557,0,117
1541168067310,1437,Facebook,200,OK,MEAN 1-1,text,true,,514349,120,1,1,https://www.facebook.com/,566,0,121
1541168068748,1321,Facebook,200,OK,MEAN 1-1,text,true,,514449,120,1,1,https://www.facebook.com/,459,0,109
1541168070072,1339,Facebook,200,OK,MEAN 1-1,text,true,,513965,120,1,1,https://www.facebook.com/,467,0,109
1541168071412,1470,Facebook,200,OK,MEAN 1-1,text,true,,514389,120,1,1,https://www.facebook.com/,560,0,119
1541168072883,1246,Facebook,200,OK,MEAN 1-1,text,true,,514377,120,1,1,https://www.facebook.com/,355,0,149
1541168074130,2663,Facebook,200,OK,MEAN 1-1,text,true,,514073,120,1,1,https://www.facebook.com/,607,0,137
1541168076794,1410,Facebook,200,OK,MEAN 1-1,text,true,,514327,120,1,1,https://www.facebook.com/,503,0,126
1541168078205,1299,Facebook,200,OK,MEAN 1-1,text,true,,514346,120,1,1,https://www.facebook.com/,422,0,112
1541168079506,1415,Facebook,200,OK,MEAN 1-1,text,true,,513695,120,1,1,https://www.facebook.com/,451,0,113
1541168080921,1486,Facebook,200,OK,MEAN 1-1,text,true,,514917,120,1,1,https://www.facebook.com/,578,0,131
1541168082409,1225,Facebook,200,OK,MEAN 1-1,text,true,,513929,120,1,1,https://www.facebook.com/,317,0,128
1541168083635,1283,Facebook,200,OK,MEAN 1-1,text,true,,514018,120,1,1,https://www.facebook.com/,420,0,111
